Event,Type
"Cycling Women's Individual Pursuit, 3,000 metres",Single
Cycling Women's Points Race,Single
Sailing Men's Two Person Keelboat,Team
Cycling Men's Keirin,Single
Cycling Men's Team Sprint,Team
Athletics Men's 5 mile,Single
"Shooting Men's Running Target, Single Shot, Team",Team
Bobsleigh Women's Two,Team
Racquets Men's Singles,Single
Racquets Men's Doubles,Team
"Art Competitions Mixed Literature, Lyric Works",Single
Motorboating Mixed A-Class (Open),Single
Archery Men's Continental Style,Single
Military Ski Patrol Men's Military Ski Patrol,Single
"Art Competitions Mixed Painting, Graphic Arts",Single
"Wrestling Women's Flyweight, Freestyle",Team
"Art Competitions Mixed Literature, Unknown Event",Single
Sailing Mixed 0.5-1 Ton,Single
"Art Competitions Mixed Painting, Applied Arts",Single
"Croquet Mixed Singles, One Ball",Single
Croquet Mixed Doubles,Team
"Shooting Men's Running Target, Double Shot, Team",Team
"Shooting Men's Free Pistol, 50 yards",Single
"Shooting Men's Free Pistol, 50 yards, Team",Team
"Fencing Men's epee, Masters and Amateurs, Individual",Single
Swimming Men's 10 kilometres Open Water,Single
"Art Competitions Mixed Music, Compositions For Orchestra",Single
Archery Men's Double York Round,Single
"Wrestling Women's Middleweight, Freestyle",Team
"Equestrianism Men's Vaulting, Individual",Single
Swimming Men's 4 x 250 metres Freestyle Relay,Team
Freestyle Skiing Women's Slopestyle,Single
Table Tennis Women's Team,Team
Athletics Women's Hammer Throw,Single
"Canoeing Men's Kayak Singles, 200 metres",Single
Short Track Speed Skating Women's 500 metres,Single
Shooting Women's Double Trap,Single
Rowing Men's 6-Man Naval Rowing Boats,Team
Art Competitions Mixed Music,Single
"Shooting Men's Free Rifle, Kneeling, 300 metres",Single
"Shooting Men's Free Rifle, Prone, 300 metres",Single
"Shooting Men's Free Rifle, Standing, 300 metres",Single
"Short Track Speed Skating Women's 1,000 metres",Single
"Athletics Men's 3,200 metres Steeplechase",Single
Rowing Women's Coxless Fours,Team
Freestyle Skiing Women's Ski Cross,Single
Freestyle Skiing Men's Ski Cross,Single
"Tennis Men's Doubles, Covered Courts",Team
"Tennis Men's Singles, Covered Courts",Single
Cycling Men's 25 kilometres,Single
"Nordic Combined Men's Normal Hill / 10 km, Individual",Single
"Nordic Combined Men's Large Hill / 10 km, Individual",Single
"Shooting Men's Military Rifle, 200 metres",Single
"Short Track Speed Skating Women's 1,500 metres",Single
Athletics Men's Standing Triple Jump,Single
Rowing Men's Coxed Pairs (1 kilometres),Team
"Shooting Men's Military Pistol, 30 metres",Single
Cycling Women's Keirin,Single
"Archery Men's Au Cordon Dore, 50 metres",Single
Swimming Women's 300 metres Freestyle,Single
Snowboarding Women's Giant Slalom,Single
"Canoeing Men's Canadian Singles, 200 metres",Single
Sailing Mixed 30 metres,Single
"Athletics Men's 4,000 metres Steeplechase",Single
"Athletics Men's 5,000 metres, Team",Team
Snowboarding Men's Slopestyle,Single
Rowing Men's Coxed Pairs (1 mile),Team
Art Competitions Mixed Unknown Event,Single
Cycling Women's Omnium,Single
Freestyle Skiing Men's Halfpipe,Single
Swimming Men's 200 metres Obstacle Course,Single
Swimming Men's 200 metres Team Swimming,Team
Sailing Mixed 12 foot,Single
"Art Competitions Mixed Music, Instrumental And Chamber",Single
"Art Competitions Mixed Music, Vocals",Single
